tweetid|user|text
968491843062194176|maryannathomps3|RT @TeaPainUSA: Any #NRA member speakin' out against a minimum age requirement to buy a gun should be required to have an appendectomy perf…
968491843599167489|bettafish|"RT @ai_valentin: Let me explain a few things about this bullshit idea that people love of ""if you need psych meds, you never get a gun.""I…"
968491843661910018|fuun57|RT @kylegriffin1: Insurance broker Lockton, which has worked with the NRA on gun show and gun carrying policies, says it would no longer se…
968491843389452288|capollo45|RT @activist360: Crotchety dimwitted doofus Trump folds his arms and pouts like a constipated Mussolini as Dem governor Jay Inslee shreds h…
968491843154579463|TavoHoe2|RT @ChuntiChino: Lmao this is deadass what I think when they wanna give teacher guns😂💀 https://t.co/P6FE0rfuZ6
968491844010098688|SwTkthe1|RT @Thomas_195813: If teenagers are too immature and irresponsible to own own a gun, they are too immature and irresponsible  to make gun…
968491844412825601|grtrwomin|RT @RealJamesWoods: Maybe if children were taught substantive courses like mathematics and history more rigorously and less liberal nonsens…
968491844148572160|AllyyyMayyyy|RT @IDewWork: Let's give teachers guns. https://t.co/D6Nv8IyTUi
968491844513361920|artlung|This thread gives me hope where it's been very thin: in the reasonable gun controls legislation effort. Go teens go! https://t.co/nfqZcbjFqe
968491844383526912|Trumplo46575066|RT @Maryland4Trump2: 17 innocent people died because of the failures of law enforcement to do their jobs. It's that simple and that tragic.…
968491844576382976|Mattsmayhem1|RT @DUALIPA: Take a stand to stop gun crime. Support the families of the victims of Marjory Stoneman Douglas High School. If you can't dona…
968491844932796416|minister_bo|@JayWeber3 wouldn't it be something if it was found out that Sheriff Israel gave a stand down order (to create the… https://t.co/ZaYe5i0z7Y
968491845146828801|djake1107|RT @shannonrwatts: The Trump Slump has resulted in a $100 million gun sales dip since last year. Arming 40% of American teachers would gene…
968491845201297409|awoken19|RT @DrMartyFox: The #Marxist AKA Democrat MO:1. Create Or Fail To Prevent The Problem 2. Blame #Guns The #NRA The #Constitution 3. Th…
968491845352378369|LyricalMiracl17|RT @sighbrattt: I can’t fw Spinrilla. they be havin gun shots, air crafts, rocket sounds,  sirens, laser sounds &amp; the dj introduce himself…
968491845624807429|makharya|RT @AmandaMarcotte: https://t.co/mS4uA5fGou This litany is terrifying, but don’t fall for right wing talking points claiming the police cou…
968491845750751232|DavidChaneyjr2|RT @CNN: Warren Buffett says he won't stop doing business with gun owners https://t.co/DnIqAKnlSX https://t.co/YL7DErbMPd
968491845415206912|Daniedumont|RT @RWPUSA: This guy is a loser, going after a major corporate employer over his obsession with guns. It’s time for Delta to relocate HQ, p…
968491845817978880|2018questionall|RT @pkcapitol: Inside look at a rare Republican conversion on gun control: Florida Rep. Brian Mast, who lost both legs from IED in Kandahar…
968491845310386176|08wvdcfan|RT @TheRickWilson: You mean, just like the time Trump charged through machine gun fire to retrieve a wounded fellow Marine during a battle…
968491846493265923|GladysKravitz9|RT @Education4Libs: Liberals will demand gun control every time a crazy person shoots up a school, but never call for border control after…
968491846543532032|DiamondCasha|RT @IDewWork: Let's give teachers guns. https://t.co/D6Nv8IyTUi
968491846694592514|_JV59_|RT @BillRatchet: imagine explaining to the FBI that the gun u posted on instagram is just for a flex LMFAO
968491847327911936|ImCoreyJames|RT @longlivekcx: Donald, you tweeted this in 2016. What a hypocrite and poor example of a president you are. And yes, guns in the classroom…
968491847403343875|LeighFlayton|RT @TheRickWilson: You mean, just like the time Trump charged through machine gun fire to retrieve a wounded fellow Marine during a battle…
968491846744854528|icka_pendrick|RT @juliacarriew: swear to god this country will ban schools before it bans guns https://t.co/UACkW60CtM
968491847105630208|NAY_ked|RT @IDewWork: Let's give teachers guns. https://t.co/D6Nv8IyTUi
968491847369875457|oze1337|@Akim84_ @RealMira_xo son of a gun!
968491848422453249|Rob_ThangkHaL|Education For All. #injustTISS  #MHRD #UGC https://t.co/RRzI75LvoP
968491848170921985|alexa_wilson323|RT @darrylayo: Why don't we just--hear me out--why don't we just ban guns https://t.co/8mctmGgDYn
968491848573554689|ValiantWoman45|😂 pretty sure you don't train people by waving guns at them!! https://t.co/BOjqbhIcmo
968491848783278080|chuckgraef|This thread is really, really worth reading. You're not going to get it all from the first item. https://t.co/r6jR5fIclA
968491849299062785|JollyJackYalie|RT @JollyJackYalie: How Nancy Reagan changed her husband's mind on gun control https://t.co/HEZViSVc1z@BarackObama should have never pard…
968491849143894023|saneandreal|RT @AriMelber: This is actually the current law on guns — if someone tells you otherwise, either they don’t know what they’re talking about…
968491849676722176|Evrybdywasanegg|RT @Education4Libs: Boy genius, David Hogg, wants tourists to boycott Florida until new gun laws are passed. So let’s create no positive…
968491849546690560|deemike1983|RT @GroverNorquist: Attacking 16.3 million concealed carry permit holders, 17 million hunters and 5 million NRA members ..will cost the Dem…
968491850255519745|jsc1835|RT @RexHuppke: So Republicans, who believe tax cuts stimulate economic growth, just voted to block a $50 million tax break for Delta in Geo…
968491849957756928|Is_Love_Enough_|RT @JaneSCass: See Donald Trump below. Speaking about solutions to gun violence. His MAGA hat is on the table. With his lunch box &amp; cigar.…
968491850268110849|Therealdreddful|RT @IDewWork: Let's give teachers guns. https://t.co/D6Nv8IyTUi
968491850687500288|DCgal62|RT @dixondaver: My thoughts on gun violence through the lens of service and violence past. https://t.co/cnhhYIXZmP via @pptsapper
968491851190685697|CoolPapaBill|RT @jeffvespa: #whatif that is the question we are asking. This is one of the videos we made with students in support of Parkland and Gun C…
968491851119460353|victoriahale7vh|RT @darrylayo: Why don't we just--hear me out--why don't we just ban guns https://t.co/8mctmGgDYn
968491851769614336|MusicPromosFree|RT @HelixtheZombie: A.M. Links: Trump Tells Governors ‘We Have to Have Action’ on Guns, Hope Hicks Faces House Intelligence Committee, Germ…
968491852348514305|martuk56|RT @ElderLansing: If you don't want an 18 year buying a certain type of gun in order to protect themselves but you want a five year old boy…
968491851761291265|sammjjkk|@WiseHicks https://t.co/dbnzjfc0Ad
968491852587466752|NancyOsborne180|"RT @marty10707: ""The deliberately outrageous idea of arming classroom teachers is nothing more than a distraction, a ploy by the gun lobby…"
968491852797157378|PGANCOGunbarrel|Wailmer♂ Water Gun/Heavy Slam (IV: 62% - CP: 854 - L: 23) until 07:52:56am https://t.co/3FgtBBviJS
968491853573111809|alivefood|RT @4_the_babies: Shitty day finding out that @fedex values giving the NRA discounts over sending a message that kids matter more than guns…
968491853300543488|Sharron34442344|RT @stopthenutjob: #ThingsPeopleShouldKnow 1 That Russia has strict gun control2 That the only weapons Russians can own are hunting rifle…
968491852876926976|AlexMightKnow|RT @lexforchange: Much of what I’ve done and wanted to do was inspired by Black Lives Matter. We’re protesting the exact same way and being…
968491853900328961|5thCDWIDems|"RT @kharyp: ""We believe in absolutely gun-free, zero-tolerance, totally safe schools.That means no guns in America’s schools. Period.""@NR…"
968491854277718018|Loristalcup1|RT @Education4Libs: Boy genius, David Hogg, wants tourists to boycott Florida until new gun laws are passed. So let’s create no positive…
968491854349066246|funerarygirl|RT @GenImpact17: We're scared. We're angry. We're hurt. This is the second time in the last few months our hometown has almost been next. W…
968491854739144704|melissaslaught4|RT @shannonrwatts: NO ONE is discussing why the @NRA opposes Red Flag Laws, which would allow police and families to procure a restraining…
968491854911111168|smarievazquez|RT @darrylayo: Why don't we just--hear me out--why don't we just ban guns https://t.co/8mctmGgDYn
968491855708114944|MarkAdkins1963|There is no reason anyone under 21 should be permitted to buy or own Semi-Automatic Rifles. Responsible gun ownersh… https://t.co/7rXNYHdVB1
968491856114962432|blackholetalos|RT @ddale8: Florida Republicans reject assault weapons ban, advance bill to create 3-day waiting period for gun purchases, raise age minimu…
968491855829757952|pinzon_design|@AnnoyinglyYours @kachavez114 @ArtieVandelay1 @TomiLahren So you don't think we should restrict just anyone from ge… https://t.co/tqJaZMlcvE
968491856320450560|paininmahballs2|"RT @lachlan: I'm seeing lots of tweets about Google banning guns (or anything containing the word ""gun"") from its Shopping section, but tha…"
968491856299425792|AshleySinclair0|@youcrazypants @FoxNews @GregAbbott_TX @realDonaldTrump Itsevery American’s constitutional right to own a firearm.… https://t.co/UrOmqEq9cN
968491856253411328|thewheatleyclu1|RT @fiImbuff: 18. free fire (2016) dir. ben wheatley  —— ❛ fuck the small talk. let’s buy some guns, eh? ❜ https://t.co/wNif9sDlwu
968491856391745536|oh_hey_its_liv_|RT @darrylayo: Why don't we just--hear me out--why don't we just ban guns https://t.co/8mctmGgDYn
968491857008316416|Lennondac|RT @ProPublica: Most of the guns Chicago police seized in 2017, came from Indiana and other states where firearms laws are more lax.After…
968491857066917889|AB_Owl|RT @boyndog: Dear MSM - If you think the Parkland Students (and their Generation) are SINGLE ISSUE VOTERS, you are GETTING IT (and them) WR…
968491857129984001|westernlvr|Indeed. Always use violence when preaching a non-violent message... https://t.co/PcYDV4Tg7z
968491857448767488|ElbergJon|RT @Thomas1774Paine: ICYMI - SHOCK VIDEO — Eric Holder: We Have to “Brainwash People” &amp; Kids With Anti-Gun Curriculum in Their Classrooms h…
968491857507504128|Daxmort|@drugsandmedicin @marymaskew @arianneswork @Willmvg @ClarkePhil gun out anyway. And finally, although it's not a pa… https://t.co/rg9Sg40SM9
968491857461342210|yoflyboys|@chuckwoolery https://t.co/5Ic1bgiEwJ
968491858002235392|insideoneart|RT @peterdaou: A couple of days ago I tweeted: Stripping health care from sick children. Pushing for more guns in schools. Banning refuge…
968491857952100352|milford421|"RT @gatewaypundit: David Hogg Calls NRA ""Child Murderers"" - Refuses to Go Back to School Until Gun Control Bill Passed (VIDEO) https://t.co…"
968491858258223104|PYR0CAT|RT @PatriotHole: The Cost Of Gun Control: This Australian Man Has No Way To Kill Everyone At The Restaurant He Got Fired From https://t.co/…
968491858639732736|cvdizzle|"RT @KELLYWEILL: A murderous neo-Nazi group shouting ""gas the k*kes, race war now"" while waving guns seems like a p clear violation of YouTu…"
968491858522353664|Infidel_Yvonne|@Deep_LoraBull definitely censorship too, we got it bad after Parkland :/Full registry on guns? Terror? Maybe t… https://t.co/ViiJTZ86cD
968491858623115264|RevlissaMelissa|RT @KamalaHarris: Even though these times require us to resist, we are not fighting against something. Here's what we're fighting for: ✅…
968491858568638464|thenicknelson|@dickdbodine I suppose you think steak also has the same lethality as guns because sometimes people choke on it.
968491858325155841|hallirockz|RT @KatiePavlich: Repost - That, people, is a pump action shotgun. Semi-automatic AR-15 it is not. https://t.co/UuVXAZDrkD
968491859512143872|american_jo12|RT @steph93065: Can you guess which “survivor” is for gun control? These two boys are treated COMPLETELY different by the media, the publ…
968491859910668288|Careyc8|RT @CameronShiZzFOH: A gun control advocate convicted of weapons trafficking. 🤔🤔🤔🤔These California Democrats are straight up mob bosses it…
968491859789131776|Shooter_ptpx01|RT @RobProvince: Adam here is gonna be very surprised to know I’ve gotten guns from all those delivery services. Magazines too... big one…
968491860678373376|NoReggieMiller|RT @IamDJFred: Y’all say this but get a function like this. Nobody gets in the pool. Girls to boujie to be approached. Nobody dances. 7 nig…
968491860720222208|ElVandidoSnek|"RT @appabend: Google censored ""gun"" in the shopping page.So you can't search for ""gundam"" or ""guns n roses""The name of the game: Find t…"
968491861139755008|greybo62|RT @kurteichenwald: In the worst PR statement ever, @FedEx not only declared it will partner with anyone, no matter their beliefs (“I joine…
968491861194223616|ballZachairy|RT @Tombx7M: Say hello to my little friendHollywood has no problem making money off gun violence #tucker #hannity https://t.co/yPCbstmJ94
968491861961670656|mandsandy1|RT @mkraju: Russia - not Florida/guns - on Trump’s mind this AM. Four Trump tweets, saying there’s no collusion, no obstruction, suggesting…
968491860904808448|demontrosier|Iowa grants gun permits to the blind https://t.co/gtGPTiqkdk via @usatoday
968491861957476352|jay_a_severns|@realDonaldTrump @FoxNews Mueller is coming traitor, and you know it. You play golf while grieving parents bury the… https://t.co/Y4rl3afB6o
968491862523875328|bluedillygal|RT @MotherJones: 1/ The NRA has recently been under fire amid student gun protests, but we've been covering the group's operations for year…
968491862377066496|Steph59Reed|RT @RealCandaceO: This legitimately made me laugh out loud. Exact equivalent of celebrities saying they will move out of the country if we…
968491862263828480|jend0315|RT @Thomas1774Paine: Gun background checks give ‘false senses of security,’ GOP congressman says https://t.co/I52POD45eD
968491863048036352|berinring|RT @Jaehwan_TH: (🎬) Pre-Debut ของ #แจฮวาน ค่ะ 😂🎶WRONGFUL ENCOUNTER - KIM GUN MOⒸvisionmaker4538#WannaOne #워너원#KIMJAEHWAN #คิมแจฮวาน#김…
968491863211683840|countingthetoll|RT @benshapiro: What if we just abolished the internet, telephones, telegraphs and all other modes of communication that weren’t around in…
968491863589220352|GeorgiaDMcRae|RT @IDewWork: Let's give teachers guns. https://t.co/D6Nv8IyTUi
968491863803154433|JG_Trackman|RT @ReviveLiberty: Wednesday 2/28/18: @njassemblydems want to take away guns from ANYONE ACCUSED (not convicted) of domestic violence. Ho…
968491863601795072|kingaroo25|RT @TopherSpiro: My response: UPS! https://t.co/53iUfHVwJd
968491863715000322|PatiWoman7|@CaseyCagle @Delta @NRA Conservatives cannot stand around and let our children get cut down by a gun that no civili… https://t.co/hpXrMJajh3
968491863551463425|DinaPomeranz|RT @DinaPomeranz: Some potential reasons why Switzerland may have a much lower rate of shootings than the US even though it has a very high…
968491863685632000|cberrl|Trump stops short of full endorsement of gun proposals https://t.co/gj8MBF0HLJ
968491864029528064|mwaNYNY|RT @kurteichenwald: In the worst PR statement ever, @FedEx not only declared it will partner with anyone, no matter their beliefs (“I joine…
968491863815663616|corinneelliott_|RT @kyrahsimon: Do not disrespect his memory by tweeting out your pro-gun bullshit https://t.co/nrwvRs7oNN
968491864511995904|a_town346|RT @realDonaldTrump: Crooked Hillary said that I  want guns brought into the school classroom. Wrong!
